Nr.;#;Company;Location_HQ;Country;Continent;Laid_Off;Date_layoffs;Percentage;Company_Size_before_Layoffs;Company_Size_after_layoffs;Industry;Stage;Money_Raised_in_$_mil;Year;lat;lng
392;1142;Tier Mobility;Berlin;Germany;Europe;80.0;2023-01-25;7.0;1143.0;1063.0;Transportation;Series D;$646;2023;52.52437;13.41053
393;1148;Vacasa;Portland;USA;North America;1300.0;2023-01-24;17.0;7647.0;6347.0;Travel;Post-IPO;$834;2023;45.52345;-122.67621
394;1149;Innovaccer;San Francisco Bay Area;USA;North America;245.0;2023-01-24;15.0;1633.0;1388.0;Healthcare;Series E;$379;2023;37.77493;-122.41942
395;1150;Bolt;San Francisco Bay Area;USA;North America;50.0;2023-01-24;10.0;500.0;450.0;Finance;Series E;$1300;2023;37.77493;-122.41942
396;1151;PartnerStack;Toronto;Canada;North America;40.0;2023-01-24;20.0;200.0;160.0;Sales;Series B;$36;2023;43.70643;-79.39864
397;1152;Gitpod;Kiel;Germany;Europe;21.0;2023-01-24;28.0;75.0;54.0;Product;Series A;$41;2023;54.32133;10.13489
398;1160;Spotify;Stockholm;Sweden;Europe;600.0;2023-01-23;6.0;10000.0;9400.0;Media;Post-IPO;$2100;2023;59.32938;18.06871
399;1161;Uber Freight;San Francisco Bay Area;USA;North America;150.0;2023-01-23;3.0;5000.0;4850.0;Logistics;Subsidi…;$2700;2023;37.77493;-122.36608
400;1163;Innovid;New York City;USA;North America;40.0;2023-01-23;10.0;400.0;360.0;Marketing;Post-IPO;$295;2023;40.71427;-74.00597
401;1165;Ermetic;San Francisco Bay Area;USA;North America;30.0;2023-01-23;17.0;176.0;146.0;Security;Series B;$97;2023;37.44188;-122.14302
402;1166;Namogoo;Tel Aviv;Israel;Asia;20.0;2023-01-23;15.0;133.0;113.0;Marketing;Series C;$69;2023;32.08088;34.78057
403;1171;Google;San Francisco Bay Area;USA;North America;12000.0;2023-01-20;6.0;200000.0;188000.0;Consumer;Post-IPO;$26;2023;37.38605;-122.08385
404;1172;Wayfair;Boston;USA;North America;1750.0;2023-01-20;10.0;17500.0;15750.0;Retail;Post-IPO;$1700;2023;42.35843;-71.05977
405;1173;Swiggy;Bengaluru;India;Asia;380.0;2023-01-20;6.0;6333.0;5953.0;Food;Unknown;;2023;12.97194;77.59369
406;1174;MediBuddy;Bengaluru;India;Asia;200.0;2023-01-20;8.0;2500.0;2300.0;Healthcare;Acquired;$192;2023;12.97194;77.59369
407;1175;Vox Media;Washington DC;USA;North America;130.0;2023-01-20;7.0;1857.0;1727.0;Media;Series F;$307;2023;38.89511;-77.03637
408;1178;Enjoei;Sao Paulo;Brazil;South America;31.0;2023-01-20;10.0;310.0;279.0;Retail;Unknown;$14;2023;-23.5475;-46.63611
409;1180;Citrine Informatics;San Francisco Bay Area;USA;North America;22.0;2023-01-20;27.0;81.0;59.0;Data;Series C;$64;2023;37.48522;-122.23635
410;1189;Hubilo;San Francisco Bay Area;USA;North America;115.0;2023-01-19;35.0;329.0;214.0;Other;Series B;$153;2023;37.77493;-122.41942
411;1190;Saks.com;New York City;USA;North America;100.0;2023-01-19;5.0;2000.0;1900.0;Retail;Unknown;$965;2023;40.71427;-74.00597
412;1191;CS Disco;Austin;USA;North America;62.0;2023-01-19;9.0;689.0;627.0;Legal;Post-IPO;$233;2023;30.26715;-97.74306
413;1204;Microsoft;Seattle;USA;North America;10000.0;2023-01-18;5.0;200000.0;190000.0;Other;Post-IPO;$1;2023;47.60621;-122.33207
414;1205;Sophos;Oxford;United Kingdom;Europe;450.0;2023-01-18;10.0;4500.0;4050.0;Security;Acquired;$125;2023;51.75222;-1.25596
415;1206;Teladoc Health;New York City;USA;North America;300.0;2023-01-18;6.0;5000.0;4700.0;Healthcare;Post-IPO;$172;2023;40.71427;-74.00597
416;1207;Vroom;New York City;USA;North America;275.0;2023-01-18;20.0;1375.0;1100.0;Transportation;Post-IPO;;2023;40.71427;-74.00597
417;1208;8x8;San Francisco Bay Area;USA;North America;155.0;2023-01-18;7.0;2214.0;2059.0;Support;Post-IPO;$253;2023;37.28717;-121.9499
418;1209;Pagaya;New York City;USA;North America;140.0;2023-01-18;20.0;700.0;560.0;Finance;Post-IPO;$571;2023;40.71427;-74.00597
419;1210;Benevity;Calgary;Canada;North America;137.0;2023-01-18;14.0;979.0;842.0;Other;Unknown;$69;2023;51.05011;-114.08529
420;1211;Inspirato;Denver;USA;North America;109.0;2023-01-18;12.0;908.0;799.0;Travel;Post-IPO;$179;2023;39.73915;-104.9847
421;1212;Jumpcloud;Boulder;USA;North America;100.0;2023-01-18;12.0;833.0;733.0;Security;Series F;$416;2023;40.01499;-105.27055
422;1213;nCino;Wilmington;USA;North America;100.0;2023-01-18;7.0;1429.0;1329.0;Finance;Post-IPO;;2023;34.23556;-77.94604
423;1214;Starry;Boston;USA;North America;100.0;2023-01-18;24.0;417.0;317.0;Other;Post-IPO;$260;2023;42.35843;-71.05977
424;1215;Hootsuite;Vancouver;Canada;North America;70.0;2023-01-18;7.0;1000.0;930.0;Marketing;Series C;$300;2023;49.24966;-123.11934
425;1216;Clue;Berlin;Germany;Europe;31.0;2023-01-18;31.0;100.0;69.0;Healthcare;Unknown;$47;2023;52.52437;13.41053
426;1217;Addepar;San Francisco Bay Area;USA;North America;20.0;2023-01-18;3.0;667.0;647.0;Finance;Series F;$491;2023;37.38605;-122.08385
427;1228;Lightspeed Company;Montreal;Canada;North America;300.0;2023-01-17;10.0;3000.0;2700.0;Retail;Post-IPO;;2023;45.50884;-73.58781
428;1229;Unity;San Francisco Bay Area;USA;North America;284.0;2023-01-17;3.0;9467.0;9183.0;Other;Post-IPO;$1300;2023;37.77493;-122.41942
429;1230;Britishvolt;London;United Kingdom;Europe;206.0;2023-01-17;100.0;206.0;0.0;Transportation;Unknown;$2400;2023;51.50853;-0.12574
430;1232;Exotel;Bengaluru;India;Asia;142.0;2023-01-17;15.0;947.0;805.0;Support;Series D;$87;2023;12.97194;77.59369
431;1233;Unico;Sao Paulo;Brazil;South America;110.0;2023-01-17;10.0;1100.0;990.0;Other;Series D;$336;2023;-23.5475;-46.63611
432;1235;American Robotics;Boston;USA;North America;50.0;2023-01-17;65.0;77.0;27.0;Other;Acquired;$92;2023;42.35843;-71.05977
433;1247;ShareChat;Bengaluru;India;Asia;500.0;2023-01-16;20.0;2500.0;2000.0;Consumer;Series H;$1700;2023;12.97194;77.59369
434;1249;ClearCo;Toronto;Canada;North America;50.0;2023-01-16;30.0;167.0;117.0;Finance;Series C;$698;2023;43.70643;-79.39864
435;1254;Snappy;New York City;USA;North America;100.0;2023-01-15;30.0;333.0;233.0;Marketing;Series C;$104;2023;40.71427;-74.00597
436;1255;BharatAgri;Mumbai;India;Asia;40.0;2023-01-15;43.0;93.0;53.0;Food;Series A;$21;2023;19.07283;72.88261
437;1266;Lending Club;San Francisco Bay Area;USA;North America;225.0;2023-01-12;14.0;1607.0;1382.0;Finance;Post-IPO;$392;2023;37.77493;-122.41942
438;1267;SmartNews;Tokyo;Japan;Asia;120.0;2023-01-12;40.0;300.0;180.0;Media;Series F;$410;2023;35.6895;139.69171
439;1269;Pier;Sao Paulo;Brazil;South America;111.0;2023-01-12;39.0;285.0;174.0;Finance;Series B;$42;2023;-23.5475;-46.63611
440;1270;Blockchain.com;London;United Kingdom;Europe;110.0;2023-01-12;28.0;393.0;283.0;Crypto;Series D;$490;2023;51.50853;-0.12574
441;1271;Lattice;San Francisco Bay Area;USA;North America;105.0;2023-01-12;15.0;700.0;595.0;HR;Series F;$328;2023;37.77493;-122.41942
442;1272;Greenlight;Atlanta;USA;North America;104.0;2023-01-12;21.0;495.0;391.0;Finance;Series D;$556;2023;33.749;-84.38798
443;1276;Akili Labs;Boston;USA;North America;46.0;2023-01-12;30.0;153.0;107.0;Healthcare;Post-IPO;$301;2023;42.35843;-71.05977
444;1281;Flexport;San Francisco Bay Area;USA;North America;640.0;2023-01-11;20.0;3200.0;2560.0;Logistics;Series E;$2400;2023;37.77493;-122.41942
445;1282;Qualtrics;Salt Lake City;USA;North America;270.0;2023-01-11;5.0;5400.0;5130.0;Other;Post-IPO;$400;2023;40.76078;-111.89105
446;1284;Tipalti;San Francisco Bay Area;USA;North America;123.0;2023-01-11;11.0;1118.0;995.0;Finance;Series F;$565;2023;37.55855;-122.27108
447;1285;Jumio;San Francisco Bay Area;USA;North America;100.0;2023-01-11;6.0;1667.0;1567.0;Security;Private Equity …;$205;2023;37.36883;-122.03635
448;1295;Coinbase;San Francisco Bay Area;USA;North America;950.0;2023-01-10;20.0;4750.0;3800.0;Crypto;Post-IPO;$549;2023;37.77493;-122.41942
449;1297;Blend;San Francisco Bay Area;USA;North America;340.0;2023-01-10;28.0;1214.0;874.0;Finance;Post-IPO;$665;2023;37.77493;-122.41942
450;1299;ConsenSys;New York City;USA;North America;100.0;2023-01-10;11.0;909.0;809.0;Crypto;Series D;$726;2023;40.71427;-74.00597
451;1300;ForeScout;Tel Aviv;Israel;Asia;100.0;2023-01-10;10.0;1000.0;900.0;Security;Acquired;$125;2023;32.08088;34.78057
452;1301;Thinkific;Vancouver;Canada;North America;76.0;2023-01-10;19.0;400.0;324.0;Education;Post-IPO;$22;2023;49.24966;-123.11934
453;1303;Parler;Nashville;USA;North America;60.0;2023-01-10;75.0;80.0;20.0;Consumer;Series B;$36;2023;36.16589;-86.78444
454;1304;GoBolt;Toronto;Canada;North America;55.0;2023-01-10;5.0;1100.0;1045.0;Logistics;Series C;$178;2023;43.70643;-79.39864
455;1306;StreamElements;Tel Aviv;Israel;Asia;40.0;2023-01-10;20.0;200.0;160.0;Media;Series B;$111;2023;32.08088;34.78057
456;1307;Cart.com;Austin;USA;North America;25.0;2023-01-10;4.0;625.0;600.0;Retail;Unknown;$383;2023;30.26715;-97.74306
457;1314;Fate Therapeutics;San Diego;USA;North America;315.0;2023-01-09;57.0;553.0;238.0;Healthcare;Post-IPO;;2023;32.71571;-117.16472
458;1318;Minute Media;London;United Kingdom;Europe;50.0;2023-01-08;10.0;500.0;450.0;Media;Series I;$160;2023;51.50853;-0.12574
459;1319;WalkMe;San Francisco Bay Area;USA;North America;43.0;2023-01-08;3.0;1433.0;1390.0;Other;Post-IPO;$307;2023;37.77493;-122.41942
460;1321;Huobi;Bejing;China;Asia;275.0;2023-01-06;20.0;1375.0;1100.0;Crypto;Unknown;$2;2023;39.9075;116.39723
461;1323;Bounce;Bengaluru;India;Asia;40.0;2023-01-06;5.0;800.0;760.0;Transportation;Series D;$214;2023;12.97194;77.59369
462;1331;SoundHound;San Francisco Bay Area;USA;North America;200.0;2023-01-05;50.0;400.0;200.0;Other;Post-IPO;$326;2023;37.35411;-121.95524
463;1332;Socure;Reno;USA;North America;104.0;2023-01-05;19.0;547.0;443.0;Finance;Series E;$646;2023;39.52963;-119.8138
464;1334;Moglix;Singapore;Singapore;Asia;40.0;2023-01-05;2.0;2000.0;1960.0;Retail;Series F;$472;2023;1.28967;103.85007
465;1336;Everlane;San Francisco Bay Area;USA;North America;30.0;2023-01-05;17.0;176.0;146.0;Retail;Unknown;$176;2023;37.77493;-122.41942
466;1337;Pecan AI;Tel Aviv;Israel;Asia;30.0;2023-01-05;25.0;120.0;90.0;Data;Series C;$116;2023;32.08088;34.78057
467;1338;Personetics;New York City;USA;North America;30.0;2023-01-05;8.0;375.0;345.0;Support;Private Equity …;$178;2023;40.71427;-74.00597
468;1339;Twine Solutions;Tel Aviv;Israel;Asia;30.0;2023-01-05;33.0;91.0;61.0;Hardware;Unknown;$50;2023;32.08088;34.78057
469;1340;UpScalio;Gurugram;India;Asia;25.0;2023-01-05;15.0;167.0;142.0;Retail;Series B;$62;2023;28.4601;77.02635
470;1346;Amazon;Seattle;USA;North America;8000.0;2023-01-04;2.0;400000.0;392000.0;Retail;Post-IPO;$108;2023;47.60621;-122.33207
471;1347;SaleSan Franciscoorce;San Francisco Bay Area;USA;North America;8000.0;2023-01-04;10.0;80000.0;72000.0;Sales;Post-IPO;$65;2023;37.77493;-122.41942
472;1348;Astronomer;Cincinnati;USA;North America;76.0;2023-01-04;20.0;380.0;304.0;Data;Series C;$282;2023;39.12711;-84.51439
473;1349;Kaltura;New York City;USA;North America;75.0;2023-01-04;11.0;682.0;607.0;Media;Post-IPO;$166;2023;40.71427;-74.00597
474;1350;Augury;New York City;USA;North America;20.0;2023-01-04;5.0;400.0;380.0;Manufacturing;Series E;$274;2023;40.71427;-74.00597
475;1355;Uniphore;San Francisco Bay Area;USA;North America;76.0;2023-01-03;10.0;760.0;684.0;Support;Series E;$620;2023;37.44188;-122.14302
476;1359;Micron;Boise;USA;North America;4800.0;2023-01-01;10.0;48000.0;43200.0;Hardware;Post-IPO;$50;2023;43.6135;-116.20345
477;1369;Back Market;Paris;France;Europe;93.0;2022-12-23;13.0;715.0;622.0;Retail;Series E;$1000;2022;48.85341;2.3488
478;1372;TuSimple;San Diego;USA;North America;350.0;2022-12-21;25.0;1400.0;1050.0;Transportation;Post-IPO;$648;2022;32.71571;-117.16472
479;1374;Chope;Singapore;Singapore;Asia;65.0;2022-12-20;24.0;271.0;206.0;Food;Series E;$50;2022;1.28967;103.85007
480;1375;Briza;Toronto;Canada;North America;26.0;2022-12-20;40.0;65.0;39.0;Finance;Series A;$10;2022;43.70643;-79.39864
481;1378;Homebot;Denver;USA;North America;18.0;2022-12-19;13.0;138.0;120.0;Real Estate;Acquired;$4;2022;39.73915;-104.9847
482;1382;Tomorrow;Hamburg;Germany;Europe;30.0;2022-12-16;25.0;120.0;90.0;Finance;Unknown;$29;2022;53.55073;9.99302
483;1383;Revelate;Montreal;Canada;North America;24.0;2022-12-16;30.0;80.0;56.0;Data;Series A;$26;2022;45.50884;-73.58781
484;1391;BigCommerce;Austin;USA;North America;180.0;2022-12-15;13.0;1385.0;1205.0;Retail;Post-IPO;$224;2022;30.26715;-97.74306
485;1392;Freshworks;San Francisco Bay Area;USA;North America;90.0;2022-12-15;2.0;4500.0;4410.0;Support;Post-IPO;$484;2022;37.56299;-122.32553
486;1393;LeafLink;New York City;USA;North America;80.0;2022-12-15;31.0;258.0;178.0;Other;Series C;$379;2022;40.71427;-74.00597
487;1394;Workmotion;Berlin;Germany;Europe;60.0;2022-12-15;20.0;300.0;240.0;HR;Series B;$76;2022;52.52437;13.41053
488;1396;JD.ID;Jakarta;Indonesia;Asia;200.0;2022-12-14;30.0;667.0;467.0;Retail;Post-IPO;;2022;-6.21462;106.84513
489;1399;Headspace;Los Angeles;USA;North America;50.0;2022-12-14;4.0;1250.0;1200.0;Healthcare;Unknown;$215;2022;34.05223;-118.24368
490;1400;ChowNow;Los Angeles;USA;North America;40.0;2022-12-14;10.0;400.0;360.0;Food;Series C;$64;2022;34.05223;-118.24368
491;1402;Thumbtack;San Francisco Bay Area;USA;North America;160.0;2022-12-13;14.0;1143.0;983.0;Consumer;Series I;$698;2022;37.77493;-122.41942
492;1403;Edgio;Phoenix;USA;North America;95.0;2022-12-13;10.0;950.0;855.0;Infrastructure;Post-IPO;$462;2022;33.44838;-112.07404
493;1404;Komodo Health;San Francisco Bay Area;USA;North America;78.0;2022-12-13;9.0;867.0;789.0;Healthcare;Series E;$514;2022;37.77493;-122.41942
494;1407;Pluralsight;Salt Lake City;USA;North America;400.0;2022-12-12;20.0;2000.0;1600.0;Education;Acquired;$192;2022;40.76078;-111.89105
495;1411;Outschool;San Francisco Bay Area;USA;North America;43.0;2022-12-10;25.0;172.0;129.0;Education;Series D;$240;2022;37.77493;-122.41942
496;1412;Xentral;Munich;Germany;Europe;20.0;2022-12-10;10.0;200.0;180.0;Product;Series B;$94;2022;48.13743;11.57549
497;1418;Alice;Sao Paulo;Brazil;South America;113.0;2022-12-09;16.0;706.0;593.0;Healthcare;Series C;$174;2022;-23.5475;-46.63611
498;1419;Primer;London;United Kingdom;Europe;85.0;2022-12-09;33.0;258.0;173.0;Finance;Series B;$73;2022;51.50853;-0.12574
499;1420;OneFootball;Berlin;Germany;Europe;62.0;2022-12-09;12.0;517.0;455.0;Marketing;Series D;$442;2022;52.52437;13.41053
500;1421;C2FO;Kansas City;USA;North America;20.0;2022-12-09;2.0;1000.0;980.0;Finance;Series H;$537;2022;39.09973;-94.57857
501;1426;Airtable;San Francisco Bay Area;USA;North America;254.0;2022-12-08;20.0;1270.0;1016.0;Product;Series F;$1400;2022;37.77493;-122.41942
502;1427;Swiggy;Bengaluru;India;Asia;250.0;2022-12-08;3.0;8333.0;8083.0;Food;Unknown;;2022;12.97194;77.59369
503;1428;Glints;Singapore;Singapore;Asia;198.0;2022-12-08;18.0;1100.0;902.0;HR;Series D;$82;2022;1.28967;103.85007
504;1429;Buser;Sao Paulo;Brazil;South America;160.0;2022-12-08;30.0;533.0;373.0;Transportation;Series C;$138;2022;-23.5475;-46.63611
505;1430;BlackLine;Los Angeles;USA;North America;95.0;2022-12-08;5.0;1900.0;1805.0;Finance;Private Equity …;$220;2022;34.05223;-118.24368
506;1432;Otonomo;Tel Aviv;Israel;Asia;80.0;2022-12-08;50.0;160.0;80.0;Transportation;Post-IPO;$231;2022;32.08088;34.78057
507;1433;TechTarget;Boston;USA;North America;60.0;2022-12-08;5.0;1200.0;1140.0;Marketing;Post-IPO;$115;2022;42.35843;-71.05977
508;1435;CyCognito;San Francisco Bay Area;USA;North America;30.0;2022-12-08;15.0;200.0;170.0;Security;Series C;$153;2022;37.44188;-122.14302
509;1436;Armis;San Francisco Bay Area;USA;North America;25.0;2022-12-08;4.0;625.0;600.0;Security;Private Equity …;$537;2022;37.77493;-122.41942
510;1444;Loft;Sao Paulo;Brazil;South America;312.0;2022-12-07;12.0;2600.0;2288.0;Real Estate;Unknown;$788;2022;-23.5475;-46.63611
511;1445;Plaid;San Francisco Bay Area;USA;North America;260.0;2022-12-07;20.0;1300.0;1040.0;Finance;Series D;$734;2022;37.77493;-122.41942
512;1446;Motive;San Francisco Bay Area;USA;North America;237.0;2022-12-07;6.0;3950.0;3713.0;Transportation;Series F;$567;2022;37.77493;-122.41942
513;1448;Relativity;Chicago;USA;North America;150.0;2022-12-07;10.0;1500.0;1350.0;Legal;Private Equity …;$125;2022;41.85003;-87.65005
514;1449;Voi;Stockholm;Sweden;Europe;130.0;2022-12-07;13.0;1000.0;870.0;Transportation;Series D;$515;2022;59.32938;18.06871
515;1450;Integral Ad Science;New York City;USA;North America;120.0;2022-12-07;13.0;923.0;803.0;Marketing;Acquired;$116;2022;40.71427;-74.00597
516;1451;Houzz;San Francisco Bay Area;USA;North America;95.0;2022-12-07;8.0;1188.0;1093.0;Consumer;Series E;$613;2022;37.44188;-122.14302
517;1452;Grover;Berlin;Germany;Europe;40.0;2022-12-07;10.0;400.0;360.0;Retail;Unknown;;2022;52.52437;13.41053
518;1453;Lev;New York City;USA;North America;30.0;2022-12-07;30.0;100.0;70.0;Real Estate;Series B;$114;2022;40.71427;-74.00597
519;1454;Lithic;New York City;USA;North America;27.0;2022-12-07;18.0;150.0;123.0;Finance;Series C;$115;2022;40.71427;-74.00597
520;1459;Doma;San Francisco Bay Area;USA;North America;515.0;2022-12-06;40.0;1288.0;773.0;Finance;Post-IPO;$679;2022;37.77493;-122.41942
521;1461;BuzzFeed;New York City;USA;North America;180.0;2022-12-06;12.0;1500.0;1320.0;Media;Post-IPO;$696;2022;40.71427;-74.00597
522;1464;Chipper Cash;San Francisco Bay Area;USA;North America;50.0;2022-12-06;13.0;385.0;335.0;Finance;Series C;$302;2022;37.77493;-122.41942
523;1465;Stash;New York City;USA;North America;32.0;2022-12-06;8.0;400.0;368.0;Finance;Unknown;$480;2022;40.71427;-74.00597
524;1466;Perimeter 81;Tel Aviv;Israel;Asia;20.0;2022-12-06;8.0;250.0;230.0;Security;Series C;$165;2022;32.08088;34.78057
525;1468;Bridgit;Waterloo;Canada;North America;13.0;2022-12-06;13.0;100.0;87.0;Construction;Series B;$36;2022;43.4668;-80.51639
526;1475;Aqua Security;Boston;USA;North America;65.0;2022-12-05;10.0;650.0;585.0;Security;Series E;$265;2022;42.35843;-71.05977
527;1476;DataRails;Tel Aviv;Israel;Asia;30.0;2022-12-05;18.0;167.0;137.0;Finance;Series B;$103;2022;32.08088;34.78057
528;1485;Polly;Burlington;USA;North America;47.0;2022-12-02;15.0;313.0;266.0;Finance;Series C;$184;2022;44.47588;-73.21207
529;1488;Carousell;Singapore;Singapore;Asia;110.0;2022-12-01;10.0;1100.0;990.0;Retail;Private Equity …;$372;2022;1.28967;103.85007
530;1489;Bizzabo;New York City;USA;North America;100.0;2022-12-01;37.0;270.0;170.0;Marketing;Series E;$194;2022;40.71427;-74.00597
531;1491;Netlify;San Francisco Bay Area;USA;North America;48.0;2022-12-01;16.0;300.0;252.0;Product;Series D;$212;2022;37.77493;-122.41942
532;1492;Springbig;Miami;USA;North America;37.0;2022-12-01;23.0;161.0;124.0;Sales;Post-IPO;$32;2022;25.77427;-80.19366
533;1498;DoorDash;San Francisco Bay Area;USA;North America;1250.0;2022-11-30;6.0;20833.0;19583.0;Food;Post-IPO;$2500;2022;37.77493;-122.41942
534;1499;Kraken;San Francisco Bay Area;USA;North America;1100.0;2022-11-30;30.0;3667.0;2567.0;Crypto;Unknown;$134;2022;37.77493;-122.41942
535;1500;Happy Money;Los Angeles;USA;North America;158.0;2022-11-30;34.0;465.0;307.0;Finance;Series D;$191;2022;34.05223;-118.24368
536;1501;Ula;Jakarta;Indonesia;Asia;134.0;2022-11-30;23.0;583.0;449.0;Retail;Series B;$140;2022;-6.21462;106.84513
537;1502;Wonder;New York City;USA;North America;130.0;2022-11-30;7.0;1857.0;1727.0;Food;Series B;$850;2022;40.71427;-74.00597
538;1504;Grin;Sacramento;USA;North America;60.0;2022-11-30;13.0;462.0;402.0;Marketing;Series B;$145;2022;38.58157;-121.4944
539;1505;Ualá;Buenos Aires;Argentina;South America;53.0;2022-11-30;3.0;1767.0;1714.0;Finance;Series D;$544;2022;-34.61315;-58.37723
540;1506;Teachmint;Bengaluru;India;Asia;45.0;2022-11-30;5.0;900.0;855.0;Education;Series B;$118;2022;12.97194;77.59369
541;1508;Thread;London;United Kingdom;Europe;30.0;2022-11-30;50.0;60.0;30.0;Retail;Acquired;$40;2022;51.50853;-0.12574
542;1516;Lyst;London;United Kingdom;Europe;50.0;2022-11-29;25.0;200.0;150.0;Retail;Unknown;$144;2022;51.50853;-0.12574
543;1517;CoinJar;Melbourne;Australia;Australia;10.0;2022-11-29;20.0;50.0;40.0;Crypto;Unknown;$1;2022;-37.814;144.96332
544;1525;Infarm;Berlin;Germany;Europe;500.0;2022-11-28;50.0;1000.0;500.0;Other;Series D;$604;2022;52.52437;13.41053
545;1526;Wildlife Studios;Sao Paulo;Brazil;South America;300.0;2022-11-28;20.0;1500.0;1200.0;Consumer;Unknown;$260;2022;-23.5475;-46.63611
546;1528;ApplyBoard;Waterloo;Canada;North America;90.0;2022-11-28;6.0;1500.0;1410.0;Education;Series D;$483;2022;43.4668;-80.51639
547;1529;Ajaib;Jakarta;Indonesia;Asia;67.0;2022-11-28;8.0;838.0;771.0;Finance;Unknown;$245;2022;-6.21462;106.84513
548;1530;Candy Digital;New York City;USA;North America;33.0;2022-11-28;33.0;100.0;67.0;Crypto;Series A;$100;2022;40.71427;-74.00597
549;1531;ResearchGate;Berlin;Germany;Europe;25.0;2022-11-28;10.0;250.0;225.0;Other;Series D;$87;2022;52.52437;13.41053
550;1540;VerSe Innovation;Bengaluru;India;Asia;150.0;2022-11-25;5.0;3000.0;2850.0;Media;Series J;$1700;2022;12.97194;77.59369
551;1541;Carwow;London;United Kingdom;Europe;70.0;2022-11-25;20.0;350.0;280.0;Transportation;Unknown;$157;2022;51.50853;-0.12574
552;1542;Vendease;Lagos;Nigeria;Africa;27.0;2022-11-25;9.0;300.0;273.0;Food;Series A;$43;2022;6.45407;3.39467
553;1543;Lemon;Buenos Aires;Argentina;South America;100.0;2022-11-24;38.0;263.0;163.0;Crypto;Series A;$17;2022;-34.61315;-58.37723
554;1544;Quidax;Lagos;Nigeria;Africa;20.0;2022-11-24;20.0;100.0;80.0;Crypto;Unknown;$3;2022;6.45407;3.39467
555;1552;SIRCLO;Jakarta;Indonesia;Asia;160.0;2022-11-22;8.0;2000.0;1840.0;Retail;Series B;$92;2022;-6.21462;106.84513
556;1554;Trax;Singapore;Singapore;Asia;80.0;2022-11-22;8.0;1000.0;920.0;Retail;Series E;$1000;2022;1.28967;103.85007
557;1559;Jumia;Lagos;Nigeria;Africa;900.0;2022-11-21;20.0;4500.0;3600.0;Retail;Post-IPO;;2022;6.45407;3.39467
558;1560;Kitopi;Dubai;United Arabian Emirates;Asia;93.0;2022-11-21;10.0;930.0;837.0;Food;Series C;$804;2022;25.07725;55.30927
559;1563;Zomato;Gurugram;India;Asia;100.0;2022-11-19;4.0;2500.0;2400.0;Food;Series J;$914;2022;28.4601;77.02635
560;1564;Carvana;Phoenix;USA;North America;1500.0;2022-11-18;8.0;18750.0;17250.0;Transportation;Post-IPO;$1600;2022;33.44838;-112.07404
561;1565;Nuro;San Francisco Bay Area;USA;North America;300.0;2022-11-18;20.0;1500.0;1200.0;Transportation;Series D;$2100;2022;37.38605;-122.08385
562;1566;Synthego;San Francisco Bay Area;USA;North America;105.0;2022-11-18;20.0;525.0;420.0;Healthcare;Series E;$459;2022;37.48522;-122.23635
563;1574;Roku;San Francisco Bay Area;USA;North America;200.0;2022-11-17;7.0;2857.0;2657.0;Media;Post-IPO;$208;2022;37.33939;-121.89496
564;1577;Juni;Gothenburg;Sweden;Europe;72.0;2022-11-17;33.0;218.0;146.0;Finance;Unknown;$281;2022;57.70716;11.96679
565;1579;Capitolis;New York City;USA;North America;37.0;2022-11-17;25.0;148.0;111.0;Finance;Series D;$281;2022;40.71427;-74.00597
566;1580;TealBook;Toronto;Canada;North America;34.0;2022-11-17;19.0;179.0;145.0;Other;Series B;$73;2022;43.70643;-79.39864
567;1581;Koho;Toronto;Canada;North America;15.0;2022-11-17;4.0;375.0;360.0;Finance;Series D;$278;2022;43.70643;-79.39864
568;1582;&Open;Dublin;Ireland;Europe;9.0;2022-11-17;9.0;100.0;91.0;Marketing;Series A;$35;2022;53.33306;-6.24889
569;1586;Amazon;Seattle;USA;North America;10000.0;2022-11-16;3.0;333333.0;323333.0;Retail;Post-IPO;$108;2022;47.60621;-122.33207
570;1587;Cisco;San Francisco Bay Area;USA;North America;4100.0;2022-11-16;5.0;82000.0;77900.0;Infrastructure;Post-IPO;$2;2022;37.33939;-121.89496
571;1588;Twiga;Nairobi;Kenya;Africa;211.0;2022-11-16;21.0;1005.0;794.0;Food;Series C;$157;2022;-1.28333;36.81667
572;1589;Wayflyer;Dublin;Ireland;Europe;200.0;2022-11-16;40.0;500.0;300.0;Marketing;Unknown;$889;2022;53.33306;-6.24889
573;1590;Similarweb;New York City;USA;North America;120.0;2022-11-16;10.0;1200.0;1080.0;Other;Post-IPO;$235;2022;40.71427;-74.00597
574;1591;Salsify;Boston;USA;North America;90.0;2022-11-16;11.0;818.0;728.0;Retail;Series F;$452;2022;42.35843;-71.05977
575;1592;Lokalise;Dover;USA;North America;76.0;2022-11-16;23.0;330.0;254.0;Other;Series B;$56;2022;39.15817;-75.52437
576;1593;Yotpo;New York City;USA;North America;70.0;2022-11-16;9.0;778.0;708.0;Marketing;Unknown;$436;2022;40.71427;-74.00597
577;1594;Pear Therapeutics;Boston;USA;North America;59.0;2022-11-16;22.0;268.0;209.0;Healthcare;Post-IPO;$409;2022;42.35843;-71.05977
578;1601;UiPath;New York City;USA;North America;241.0;2022-11-15;6.0;4017.0;3776.0;Data;Post-IPO;;2022;40.71427;-74.00597
